[62056] ['1/5', '8/9', '8/7', '4/3', '4'] -> (4 / 1/5 - 4/3) / (8/9 / 8/7)
[62081] ['1/9', '1/6', '5/4', '8/5', '7'] -> 7 / 1/6 - 8/5 / (1/9 / 5/4)
[62082] ['1/4', '5/7', '7/9', '7/5', '5'] -> (5/7 + 7/5 * 5) / (1/4 / 7/9)
[62083] ['2/5', '5/9', '2/3', '7/6', '4'] -> (2/3 + 7/6 * 4) / (2/5 * 5/9)
[62084] ['3/8', '3/7', '8/5', '8/5', '8'] -> 8 * (8/5 + 8/5 * 3/8 / 3/7)
[62085] ['1/5', '2/5', '5/7', '8/5', '6'] -> 5/7 * (8/5 + (2/5 + 6) / 1/5)
[62086] ['1/7', '1/4', '3/4', '9/2', '5'] -> (9/2 - 1/4) / 1/7 - (3/4 + 5)
[62087] ['1/4', '5/7', '7/9', '3/2', '5'] -> 5 / (1/4 * 5/7) / (7/9 * 3/2)
[62088] ['1/9', '1/6', '5/4', '7/4', '7'] -> 5/4 + 7 * (7/4 + 1/6 / 1/9)
[62089] ['5/9', '5/9', '5/9', '7/6', '4'] -> 5/9 * 4 / (5/9 * 7/6 - 5/9)
[62090] ['1/5', '2/5', '5/7', '5/3', '6'] -> (6 / 5/7 - 2/5) / (1/5 * 5/3)
[62091] ['1/5', '3/7', '5/6', '7/5', '5'] -> (3/7 + 5 / 7/5) / (1/5 * 5/6)
[62092] ['1/9', '3/8', '6/7', '8/7', '5'] -> (5 + 8/7 / 6/7) / (3/8 - 1/9)
[62093] ['2/5', '5/9', '2/3', '9/7', '4'] -> 9/7 * (2/3 + 4 / (2/5 * 5/9))
[62094] ['3/8', '3/7', '8/5', '5/3', '8'] -> 5/3 * (8 / 3/7 - 8/5 / 3/8)
[62095] ['5/9', '5/9', '5/9', '6/5', '4'] -> 5/9 * 4 / (5/9 - 5/9 / 6/5)
[62096] ['1/4', '5/7', '7/9', '8/5', '5'] -> 7/9 * 8/5 * (5 / 1/4 - 5/7)
[62097] ['1/9', '3/5', '2/3', '7/6', '4'] -> 4 / (1/9 + 7/6 - 2/3 / 3/5)
[62098] ['1/5', '2/5', '5/7', '9/5', '6'] -> (6 + 2/5 * 9/5) / (1/5 / 5/7)
[62099] ['1/9', '6/7', '9/4', '5/2', '3'] -> (5/2 + 3 / 6/7) / (1/9 * 9/4)
[62100] ['2/7', '5/8', '7/8', '9/8', '2'] -> 9/8 / (7/8 * (5/8 - 2/7 * 2))
[62101] ['1/6', '2/5', '2/5', '7/8', '9'] -> (9 + 2/5 / 1/6) / (7/8 - 2/5)
[62102] ['2/5', '5/8', '4/5', '6/7', '3'] -> (4/5 + 3) / (5/8 - 2/5 / 6/7)
[62103] ['3/8', '3/7', '8/5', '9/4', '8'] -> 8/5 + 9/4 * 8 / (3/8 + 3/7)
[62104] ['1/5', '3/7', '5/6', '5/3', '5'] -> (5/3 / 1/5 + 5 / 3/7) / 5/6
[62105] ['2/5', '5/8', '4/5', '8/9', '3'] -> 3 / (2/5 + 5/8 - 4/5 / 8/9)
[62106] ['2/5', '5/9', '2/3', '9/5', '4'] -> 2/3 / 5/9 / (9/5 / 4 - 2/5)
[62107] ['1/7', '1/4', '7/9', '6/7', '5'] -> 6/7 * 5 / (1/4 / 7/9 - 1/7)
[62108] ['3/8', '3/7', '8/5', '7/3', '8'] -> 8/5 * 7/3 * 8 * (3/8 + 3/7)
[62109] ['1/9', '3/8', '6/7', '4/3', '5'] -> (4/3 / (1/9 * 6/7) - 5) / 3/8
[62110] ['2/5', '5/9', '2/3', '7/3', '4'] -> 4 / (2/3 * 7/3 - 5/9 / 2/5)
[62111] ['4/7', '3/5', '1', '9/4', '9/2'] -> 9/2 / (4/7 + 3/5 - 1) - 9/4
[62112] ['2/5', '5/8', '4/5', '7/6', '3'] -> (4/5 + 3) / (5/8 - 2/5 * 7/6)
[62113] ['1/9', '1/6', '9/7', '9/7', '7'] -> (9/7 + 1/6 * (9/7 + 7)) / 1/9
[62114] ['1/5', '3/7', '5/6', '9/5', '5'] -> (9/5 / 3/7 - 1/5) / (5/6 / 5)
[62115] ['3/8', '3/7', '8/5', '8/3', '8'] -> (8 / (3/7 * 8/5) - 8/3) / 3/8
[62116] ['1/5', '2/5', '5/7', '9/2', '6'] -> (9/2 + 6) / (2/5 / (1/5 + 5/7))
[62117] ['1/9', '6/7', '7/3', '3', '9/2'] -> (6/7 * 7/3 + 3 / 9/2) / 1/9
[62118] ['1/5', '8/9', '7/6', '7/6', '4'] -> 8/9 * (7/6 + (7/6 + 4) / 1/5)
[62119] ['2/7', '5/8', '7/8', '3/2', '2'] -> 3/2 / (5/8 / 2 - 2/7 * 7/8)
[62120] ['1/9', '3/5', '2/3', '7/3', '4'] -> (1/9 + 7/3 / 3/5) / (2/3 / 4)
[62121] ['1/5', '3/7', '5/6', '9/4', '5'] -> 5 / (5/6 * (3/7 - 1/5)) - 9/4
[62122] ['1/9', '1/6', '9/7', '7/5', '7'] -> (1/9 + 7 / (9/7 * 7/5)) / 1/6
[62123] ['3/8', '3/7', '8/5', '7/2', '8'] -> (3/8 + 3/7 * 7/2) * 8/5 * 8
[62124] ['1/5', '8/9', '7/6', '6/5', '4'] -> (4 + 7/6 * 6/5) / (1/5 / 8/9)
[62125] ['2/5', '5/8', '4/5', '7/5', '3'] -> 3 / (5/8 * (7/5 - (2/5 + 4/5)))
[62126] ['1/6', '2/5', '3/7', '4/9', '9'] -> 1/6 / 3/7 + (4/9 + 9) / 2/5
[62127] ['4/7', '3/5', '1', '7/3', '8/3'] -> 8/3 / (7/3 * (1 - 4/7 / 3/5))
[62128] ['1/5', '2/5', '3/4', '6/7', '6'] -> (1/5 + 6 / 6/7) / (2/5 * 3/4)
[62129] ['1/5', '3/7', '5/6', '7/3', '5'] -> (5 - 3/7 * 7/3) / (1/5 * 5/6)
[62130] ['1/9', '3/5', '2/3', '5/2', '4'] -> (3/5 * 4 + 2/3 / 5/2) / 1/9
[62131] ['2/5', '5/8', '4/5', '5/3', '3'] -> 3 / (2/5 / 4/5 - 5/8 / 5/3)
[62132] ['5/9', '5/9', '5/9', '7/3', '4'] -> (7/3 + 5/9 / 5/9) / (5/9 / 4)
[62133] ['2/7', '5/8', '7/8', '7/4', '2'] -> (7/4 + 2) / (7/8 * 2/7 * 5/8)
[62134] ['1/5', '8/9', '7/6', '9/7', '4'] -> 7/6 * 9/7 + 4 / (1/5 * 8/9)
[62135] ['1/5', '2/5', '3/4', '8/7', '6'] -> 8/7 / (1/5 / 3/4) * (6 - 2/5)
[62136] ['1/4', '5/7', '4/5', '5/6', '5'] -> 5/6 * (4/5 + 5 / (1/4 * 5/7))
[62137] ['1/9', '3/5', '5/7', '5/7', '4'] -> 4 * (5/7 / 1/9 - 3/5 * 5/7)
[62138] ['1/5', '3/7', '5/6', '9/2', '5'] -> 5 * (9/2 + 1/5 / 3/7) - 5/6
[62139] ['2/5', '5/9', '5/7', '4/5', '4'] -> 4 / (5/7 - 5/9) - (2/5 + 4/5)
[62140] ['1/9', '3/8', '6/7', '9/4', '5'] -> 6/7 + 9/4 * 5 / (1/9 + 3/8)
[62141] ['1/7', '1/4', '7/9', '4/3', '5'] -> (5 / 4/3 - 1/4 / 7/9) / 1/7
[62142] ['1/9', '7/8', '7/8', '7/8', '3'] -> (7/8 / 1/9 - 7/8) / (7/8 / 3)
[62143] ['4/7', '3/5', '1', '5/2', '8/3'] -> 1 / (8/3 - 5/2 / (4/7 / 3/5))
[62144] ['3/8', '3/7', '5/3', '9/5', '8'] -> (9/5 / 3/7 + 8 / 5/3) / 3/8
[62145] ['2/5', '5/8', '4/5', '7/3', '3'] -> 2/5 / (3 / 4/5 - 7/3 / 5/8)
[62146] ['1/5', '2/5', '3/4', '9/7', '6'] -> 6 / (9/7 * (3/4 - 2/5) - 1/5)
[62147] ['1/5', '3/7', '6/7', '6/7', '5'] -> 6/7 * (6/7 + (3/7 + 5) / 1/5)
[62148] ['2/7', '5/8', '7/8', '2', '5/2'] -> (2 + 5/2 / 5/8) / (2/7 * 7/8)
[62149] ['1/7', '1/4', '7/9', '7/5', '5'] -> 5 * (1/7 + 7/5) / (1/4 / 7/9)
[62150] ['4/7', '3/5', '1', '5/2', '7/2'] -> 5/2 / 7/2 / (3/5 - 4/7) - 1
[62151] ['1/9', '7/8', '7/8', '8/7', '3'] -> 8/7 * 3 * (7/8 / 1/9 - 7/8)
[62152] ['2/5', '5/8', '4/5', '8/3', '3'] -> 3 / (4/5 / (2/5 * 8/3) - 5/8)
[62153] ['1/5', '8/9', '7/6', '8/5', '4'] -> 8/5 / (7/6 / 4 - 1/5 / 8/9)
[62154] ['2/5', '5/9', '5/7', '6/7', '4'] -> (4 / (2/5 * 5/9) - 6/7) / 5/7
[62155] ['1/5', '3/7', '6/7', '8/9', '5'] -> 8/9 * (6/7 / 3/7 + 5 / 1/5)
[62156] ['1/6', '2/5', '3/7', '5/7', '9'] -> 9 / 2/5 - (1/6 - 5/7 / 3/7)
[62157] ['5/9', '5/9', '4/7', '2/3', '4'] -> 4 / (2/3 / 4/7 - 5/9 / 5/9)
[62158] ['2/7', '5/8', '7/8', '2', '9/2'] -> 2 * 9/2 / (5/8 - 2/7 * 7/8)
[62159] ['1/5', '8/9', '7/6', '7/4', '4'] -> 7/4 / 7/6 + 4 / (1/5 * 8/9)
[62160] ['1/5', '3/7', '6/7', '9/8', '5'] -> (6/7 / 3/7 + 5 / 1/5) / 9/8
[62161] ['2/5', '5/8', '5/6', '7/8', '3'] -> 3 / 5/6 / (2/5 + 5/8 - 7/8)
[62162] ['1/7', '1/4', '7/9', '9/4', '5'] -> 7/9 / (1/7 * 1/4) + 5 / 9/4
[62163] ['5/9', '5/9', '4/7', '4/5', '4'] -> 5/9 * 4/5 / (4/7 - 5/9) - 4
[62164] ['1/5', '3/7', '6/7', '7/6', '5'] -> (6/7 + (3/7 + 5) / 1/5) / 7/6
[62165] ['2/5', '5/8', '5/6', '8/9', '3'] -> 3 / 2/5 / (5/6 / 8/9 - 5/8)
[62166] ['1/6', '2/5', '3/7', '5/6', '9'] -> (9 + 2/5 * 5/6) / (1/6 / 3/7)
[62167] ['3/8', '3/7', '7/4', '9/5', '8'] -> (3/7 + 8 / 7/4) / (3/8 / 9/5)
[62168] ['1/5', '8/9', '7/6', '5/2', '4'] -> (4 / 1/5 - (7/6 - 5/2)) / 8/9
[62169] ['2/7', '5/8', '8/9', '8/7', '2'] -> 8/7 / (8/9 * (5/8 - 2/7 * 2))
[62170] ['1/7', '1/4', '7/9', '5/2', '5'] -> 5 / (1/4 - 1/7) / (7/9 * 5/2)
[62171] ['1/9', '3/8', '7/8', '9/8', '5'] -> 5 / (9/8 - (7/8 + 1/9 * 3/8))
[62172] ['2/5', '5/9', '5/7', '6/5', '4'] -> 4 / (5/7 * 2/5 * 5/9) - 6/5
[62173] ['2/5', '5/8', '5/6', '9/8', '3'] -> 3 / 2/5 / (5/6 * 9/8 - 5/8)
[62174] ['1/9', '7/8', '7/8', '9/5', '3'] -> (7/8 / 7/8 + 3 / 9/5) / 1/9
[62175] ['1/9', '3/8', '7/8', '8/7', '5'] -> (5 / 7/8 - 8/7 / 3/8) / 1/9
[62176] ['3/8', '3/7', '9/5', '9/5', '8'] -> 8 + (9/5 + 9/5 / 3/7) / 3/8
[62177] ['1/9', '7/8', '7/8', '9/4', '3'] -> 3 * (7/8 + 7/8 / 1/9) - 9/4
[62178] ['1/5', '8/9', '7/6', '4', '9/2'] -> ((7/6 + 4) / 1/5 - 9/2) / 8/9
[62179] ['1/5', '3/7', '6/7', '5/3', '5'] -> 3/7 - 6/7 * 5/3 + 5 / 1/5
[62180] ['1/4', '5/7', '4/5', '9/5', '5'] -> (4/5 - 9/5 + 5 / 5/7) / 1/4
[62181] ['2/5', '5/8', '5/6', '7/6', '3'] -> (5/6 + 7/6) * 3 / (2/5 * 5/8)
[62182] ['4/7', '5/8', '5/8', '5/7', '1'] -> (5/8 + 5/7) / (5/8 - 4/7) - 1
[62183] ['1/5', '2/5', '7/9', '3/2', '6'] -> (6 - 2/5) / (3/2 * 1/5 * 7/9)
[62184] ['1/9', '3/8', '7/8', '5/4', '5'] -> 7/8 + 5 * (5/4 + 3/8 / 1/9)
[62185] ['1/6', '2/5', '3/7', '7/6', '9'] -> 7/6 / (1/6 / 2/5) * (9 - 3/7)
[62186] ['1/5', '3/7', '6/7', '9/4', '5'] -> 6/7 / (1/5 * 5 - 3/7 * 9/4)
[62187] ['2/5', '5/9', '5/7', '3/2', '4'] -> 4 / (5/9 - 2/5) / (5/7 * 3/2)
[62188] ['1/4', '5/7', '4/5', '7/3', '5'] -> 7/3 * 5 * (5/7 / 1/4 - 4/5)
[62189] ['1/9', '1/6', '7/5', '7/3', '7'] -> (7/3 + 7) / (7/5 * (1/9 + 1/6))
[62190] ['1/9', '7/8', '8/9', '8/9', '3'] -> (1/9 + 8/9) / (3 * (8/9 - 7/8))
[62191] ['1/6', '2/5', '3/7', '6/5', '9'] -> (9 + 2/5 / 6/5) / (1/6 / 3/7)
[62192] ['5/9', '5/9', '4/7', '5/4', '4'] -> 5/9 / 5/4 / (4/7 - 5/9) - 4
[62193] ['2/7', '5/8', '8/9', '3/2', '2'] -> 3/2 / (2 / 8/9 - 5/8 / 2/7)
[62194] ['1/9', '1/6', '7/5', '5/2', '7'] -> (1/6 - 5/2 + 7 / 7/5) / 1/9
[62195] ['2/5', '5/9', '5/7', '5/3', '4'] -> 4 / (2/5 - 5/9 / (5/7 + 5/3))
[62196] ['1/9', '3/5', '5/7', '7/5', '4'] -> 4 * (5/7 / 1/9 - 3/5 / 7/5)
[62197] ['1/5', '8/9', '6/5', '5/3', '4'] -> 4 * (1/5 + 5/3) / (6/5 - 8/9)
[62198] ['1/6', '2/5', '3/7', '5/4', '9'] -> 5/4 / (1/6 / 2/5) + 9 / 3/7
[62199] ['1/4', '5/7', '4/5', '8/3', '5'] -> 8/3 * (1/4 + 5 / (5/7 * 4/5))
[62200] ['1/9', '3/8', '7/8', '8/5', '5'] -> 5 * (8/5 + 3/8 / 1/9) - 7/8
[62201] ['1/9', '7/8', '8/9', '6/5', '3'] -> (3 - 7/8 * 8/9) / (1/9 / 6/5)
[62202] ['4/7', '5/8', '5/8', '6/7', '1'] -> (6/7 / (5/8 - 4/7) - 1) / 5/8
[62203] ['1/9', '1/6', '7/5', '8/3', '7'] -> 7 / (7/5 * (1/6 + 1/9 / 8/3))
[62204] ['3/8', '3/7', '9/5', '7/2', '8'] -> 3/7 / (3/8 - 7/2 / (9/5 + 8))
[62205] ['1/5', '3/7', '7/8', '9/8', '5'] -> 3/7 / (5 * 1/5 / 7/8 - 9/8)
[62206] ['1/7', '1/4', '4/5', '6/5', '5'] -> 6/5 / (4/5 - 1/7 * (1/4 + 5))
[62207] ['1/4', '5/7', '5/6', '5/6', '5'] -> (5 / 5/7 - 5/6 / 5/6) / 1/4
[62208] ['3/8', '3/7', '9/4', '9/4', '8'] -> 9/4 / (3/7 - 3/8) - 9/4 * 8
[62209] ['1/9', '3/5', '5/7', '5/3', '4'] -> ((4 - 5/3) / 5/7 - 3/5) / 1/9
[62210] ['1/6', '2/5', '3/7', '8/5', '9'] -> 3/7 * (2/5 + 8/5 + 9 / 1/6)
[62211] ['1/9', '7/8', '8/9', '8/5', '3'] -> (8/9 + 3 / 8/5) / 1/9 - 7/8
[62212] ['2/7', '5/8', '8/9', '2', '9/4'] -> 2 / (5/8 / (2/7 * 9/4) - 8/9)
[62213] ['2/5', '5/8', '6/7', '6/7', '3'] -> 6/7 / (6/7 / 3 - 2/5 * 5/8)
[62214] ['1/7', '1/4', '4/5', '4/3', '5'] -> (5 / (1/4 + 4/5) - 4/3) / 1/7
[62215] ['1/5', '3/7', '7/8', '7/5', '5'] -> 3/7 * 7/5 / (1/5 - 7/8 / 5)
[62216] ['1/4', '5/7', '5/6', '6/5', '5'] -> (5 / 5/7 - 5/6 * 6/5) / 1/4
[62217] ['1/9', '3/5', '5/7', '9/5', '4'] -> 5/7 * (4 / 1/9 - (3/5 + 9/5))
[62218] ['4/7', '5/8', '5/8', '1', '9/7'] -> 9/7 / (5/8 * (1 - 4/7 / 5/8))
[62219] ['1/9', '1/6', '8/5', '5/3', '7'] -> (1/9 + 7) / (1/6 * 5/3) - 8/5
[62220] ['1/5', '2/5', '5/6', '5/6', '6'] -> 6 / 1/5 / (5/6 / 2/5 - 5/6)
[62221] ['3/8', '3/7', '7/3', '9/2', '8'] -> 9/2 * (8 - 7/3 / (3/8 / 3/7))
[62222] ['1/9', '3/5', '5/7', '9/4', '4'] -> (4 - 3/5 / 9/4) / (1/9 / 5/7)
[62223] ['1/5', '3/7', '7/8', '8/5', '5'] -> 5 * (1/5 + 8/5) / (3/7 * 7/8)
[62224] ['1/7', '1/4', '4/5', '5/3', '5'] -> 5/3 * (5 / 1/4 - 4/5 / 1/7)
[62225] ['1/5', '2/5', '5/6', '6/7', '6'] -> 6 / (5/6 - 1/5 / 2/5 / 6/7)
[62226] ['1/5', '8/9', '5/4', '3/2', '4'] -> (3/2 + 4 / 8/9) / (1/5 * 5/4)
[62227] ['1/9', '1/6', '8/5', '7/4', '7'] -> (1/6 + 7 / (8/5 * 7/4)) / 1/9
[62228] ['1/9', '3/5', '5/7', '7/3', '4'] -> (4 / 5/7 - (3/5 + 7/3)) / 1/9
[62229] ['2/7', '5/8', '8/9', '2', '8/3'] -> 2 / (2/7 * (5/8 - 8/9 / 8/3))
[62230] ['1/5', '3/7', '7/8', '5/3', '5'] -> 5 / (7/8 / (1/5 / 3/7) - 5/3)
[62231] ['3/8', '3/7', '5/2', '8/3', '8'] -> 3/7 * (8/3 + 8 / (3/8 / 5/2))
[62232] ['1/4', '5/7', '5/6', '3/2', '5'] -> 5 / (1/4 + 3/2) / (5/6 - 5/7)
[62233] ['1/6', '2/5', '3/7', '5/2', '9'] -> 9 + (1/6 + 5/2 / 3/7) / 2/5
[62234] ['1/9', '1/6', '8/5', '9/5', '7'] -> 7 / (1/6 + 9/5 * 1/9 / 8/5)
[62235] ['1/9', '7/8', '9/8', '6/5', '3'] -> (3 - 7/8 / 9/8) / (1/9 / 6/5)
[62236] ['1/5', '8/9', '5/4', '5/3', '4'] -> (5/3 / 5/4 + 4 / 1/5) / 8/9
[62237] ['3/8', '3/7', '8/3', '8/3', '8'] -> 8 / (8/3 - 8/3 * 3/8 / 3/7)
[62238] ['1/5', '2/5', '5/6', '9/8', '6'] -> (2/5 + 5/6 * 6) / (1/5 * 9/8)
[62239] ['2/5', '5/9', '3/4', '6/7', '4'] -> 4 / (5/9 * 6/7) / (3/4 - 2/5)
[62240] ['1/5', '3/7', '7/8', '7/4', '5'] -> 7/4 + 7/8 * (3/7 + 5 / 1/5)
[62241] ['1/9', '3/5', '5/7', '7/2', '4'] -> 4 / (1/9 * 3/5) / (5/7 * 7/2)
[62242] ['1/5', '8/9', '5/4', '7/4', '4'] -> (4 + 7/4 / 5/4) / (1/5 / 8/9)
[62243] ['1/9', '7/8', '9/8', '9/7', '3'] -> (7/8 + 3) / (9/7 - 9/8) - 1/9
[62244] ['2/5', '5/9', '3/4', '7/8', '4'] -> 4 / (3/4 / (2/5 / 5/9) - 7/8)
[62245] ['1/6', '2/5', '3/7', '9/2', '9'] -> (9/2 / (2/5 - 1/6) - 9) / 3/7
[62246] ['3/8', '3/7', '8/3', '9/2', '8'] -> 3/8 * 9/2 * (8 + 8/3 / 3/7)
[62247] ['1/7', '1/4', '4/5', '5/2', '5'] -> 1/4 + 5/2 / 1/7 + 5 / 4/5
[62248] ['2/7', '5/8', '9/8', '8/7', '2'] -> 9/8 * 8/7 / (5/8 - 2/7 * 2)
[62249] ['5/9', '5/9', '3/5', '2/3', '4'] -> 4 / 3/5 / (5/9 / 2/3 - 5/9)
[62250] ['1/5', '8/9', '5/4', '9/5', '4'] -> (8/9 * 9/5 + 4 / 5/4) / 1/5
[62251] ['1/9', '3/5', '3/4', '3/4', '4'] -> (4 - 3/4 / 3/5) / 1/9 - 3/4
[62252] ['1/7', '1/4', '4/5', '8/3', '5'] -> 5 * (4/5 / (1/4 - 1/7) - 8/3)
[62253] ['2/5', '5/9', '3/4', '9/8', '4'] -> 4 / (5/9 * (3/4 - 2/5 * 9/8))
[62254] ['1/5', '2/5', '5/6', '9/7', '6'] -> 2/5 / (1/5 / 9/7 - 5/6 / 6)
[62255] ['1/9', '1/6', '8/5', '8/3', '7'] -> (1/9 + 7) / (1/6 * 8/5) - 8/3
[62256] ['1/5', '3/7', '7/8', '7/3', '5'] -> 5 / (1/5 * 7/3) / (7/8 - 3/7)
[62257] ['1/5', '8/9', '5/4', '9/4', '4'] -> (4 + 8/9 * 9/4) / (1/5 * 5/4)
[62258] ['4/7', '5/8', '5/8', '1', '9/4'] -> 9/4 * (5/8 / (5/8 - 4/7) - 1)
[62259] ['1/6', '2/5', '4/9', '5/8', '9'] -> (9 + 1/6 / 4/9 / 5/8) / 2/5
[62260] ['1/7', '1/4', '4/5', '7/2', '5'] -> (4/5 + 1/7 / 1/4) * 7/2 * 5
[62261] ['1/9', '3/8', '9/8', '7/6', '5'] -> (5 - (9/8 + 7/6)) / 1/9 - 3/8
[62262] ['1/4', '5/7', '5/6', '7/3', '5'] -> 5 / 1/4 / (5/7 * 7/3 - 5/6)
[62263] ['5/9', '5/9', '3/5', '4/5', '4'] -> (4/5 + 4 / 5/9) / (5/9 * 3/5)
[62264] ['2/5', '5/9', '3/4', '5/4', '4'] -> 4 / (5/9 * (2/5 + 5/4) - 3/4)
[62265] ['1/5', '2/5', '5/6', '7/4', '6'] -> 2/5 / (1/5 * (6 - 7/4) - 5/6)
[62266] ['1/9', '7/8', '9/8', '9/5', '3'] -> 9/8 + (7/8 + 3 / 9/5) / 1/9
[62267] ['1/5', '3/7', '7/8', '8/3', '5'] -> 5 / 1/5 - 8/3 * 3/7 * 7/8
[62268] ['1/9', '1/6', '5/3', '9/5', '7'] -> (7 / 5/3 - 1/9 * 9/5) / 1/6
[62269] ['1/9', '3/5', '3/4', '8/9', '4'] -> (4 / 3/4 - 8/9) / (1/9 / 3/5)
[62270] ['5/9', '5/9', '3/5', '6/7', '4'] -> 4 / (5/9 - 5/9 * 3/5 / 6/7)
[62271] ['1/7', '1/4', '5/6', '5/6', '5'] -> (5/6 / 1/7 + 5/6 / 5) / 1/4
[62272] ['1/4', '5/7', '5/6', '5/2', '5'] -> 5/2 / (1/4 - 5/6 / (5/7 + 5))
[62273] ['3/8', '4/9', '4/9', '7/9', '8'] -> (8 - 4/9 / 4/9) / (3/8 * 7/9)
[62274] ['1/5', '2/5', '5/6', '9/5', '6'] -> (6 + 1/5 + 9/5) / (2/5 * 5/6)
[62275] ['2/5', '5/9', '3/4', '9/7', '4'] -> 4 / (5/9 - 2/5) - 9/7 / 3/4
[62276] ['1/7', '1/4', '5/6', '7/8', '5'] -> 5 / (1/7 * (7/8 - (1/4 - 5/6)))
[62277] ['3/8', '4/9', '4/9', '6/7', '8'] -> 8 / (3/8 * 6/7) - (4/9 + 4/9)
[62278] ['1/4', '5/7', '5/6', '7/2', '5'] -> 5 / (5/6 - 7/2 * 1/4 * 5/7)
[62279] ['1/9', '1/6', '7/4', '7/4', '7'] -> (7/4 + 7/4 / (1/9 * 7)) / 1/6
[62280] ['2/7', '5/8', '9/8', '3/2', '2'] -> 3/2 / (9/8 * 2 - 5/8 / 2/7)
[62281] ['1/9', '7/8', '8/7', '5/4', '3'] -> 3 / (1/9 * 8/7) - (7/8 - 5/4)
[62282] ['1/4', '5/7', '6/7', '7/8', '5'] -> 5 / (1/4 - 7/8 + 5/7 / 6/7)
[62283] ['1/6', '2/5', '4/9', '9/8', '9'] -> 9/8 + 1/6 / 4/9 + 9 / 2/5
[62284] ['3/8', '4/9', '4/9', '8/7', '8'] -> 4/9 / (4/9 / 8/7 - 3/8) - 8
[62285] ['2/5', '5/8', '6/7', '7/3', '3'] -> 6/7 * 7/3 * 3 / (2/5 * 5/8)
[62286] ['4/7', '5/8', '2/3', '5/7', '1'] -> 1 / (5/8 + 2/3 - 5/7 / 4/7)
[62287] ['2/5', '5/8', '6/7', '5/2', '3'] -> (5/2 + 3 / 6/7) / (2/5 * 5/8)
[62288] ['3/8', '4/9', '4/9', '6/5', '8'] -> 8 / (6/5 * (4/9 - 3/8 * 4/9))
[62289] ['2/7', '5/8', '9/8', '5/3', '2'] -> 2 / ((9/8 - 5/8) / 2/7 - 5/3)
[62290] ['1/9', '3/8', '8/7', '8/7', '5'] -> (8/7 * 5 - 8/7 / 3/8) / 1/9
[62291] ['5/9', '5/9', '3/5', '7/6', '4'] -> 4 / (5/9 - 7/6 * 5/9 * 3/5)
[62292] ['1/9', '1/6', '7/4', '9/2', '7'] -> (9/2 + 1/6 / 1/9) / (7/4 / 7)
