[1197886] ['1/9', '2/9', '4/3', '7/4', '7/8'] -> (((4/3 * 7/4) / (2/9 - 1/9)) / 7/8)
[1198129] ['1/9', '2/9', '4/5', '5/4', '7/6'] -> (7/6 / (2/9 - ((1/9 * 5/4) / 4/5)))
[1198143] ['1/9', '2/9', '4/5', '5/6', '5/8'] -> (((1/9 / (5/6 - 4/5)) / 2/9) / 5/8)
[1198155] ['1/9', '2/9', '4/5', '5/6', '8/5'] -> (((1/9 / (5/6 - 4/5)) / 2/9) * 8/5)
[1198162] ['1/9', '2/9', '4/5', '5/6', '9/8'] -> ((((4/5 * 5/6) / 1/9) / 2/9) / 9/8)
[1198167] ['1/9', '2/9', '4/5', '5/7', '6/7'] -> ((((4/5 * 5/7) / 1/9) / 2/9) + 6/7)
[1198177] ['1/9', '2/9', '4/5', '5/7', '8/7'] -> (8/7 / (((2/9 * 4/5) - 1/9) * 5/7))
[1198191] ['1/9', '2/9', '4/5', '5/8', '7/5'] -> (7/5 / ((1/9 + 2/9) * (4/5 - 5/8)))
[1198199] ['1/9', '2/9', '4/5', '5/8', '9/2'] -> (9/2 / ((4/5 - (1/9 / 2/9)) * 5/8))
[1198214] ['1/9', '2/9', '4/5', '5/9', '8/3'] -> (8/3 / (((4/5 * 5/9) - 1/9) - 2/9))
[1198217] ['1/9', '2/9', '4/5', '5/9', '8/9'] -> (8/9 / (((2/9 * 4/5) - 1/9) * 5/9))
[1198223] ['1/9', '2/9', '4/5', '6/5', '6/5'] -> ((((2/9 + 4/5) + 6/5) / 1/9) * 6/5)
[1198228] ['1/9', '2/9', '4/5', '6/5', '7/5'] -> ((((4/5 / 1/9) / 2/9) + 6/5) / 7/5)
[1198233] ['1/9', '2/9', '4/5', '6/5', '8/5'] -> (8/5 / (((6/5 - 1/9) - 2/9) - 4/5))
[1198238] ['1/9', '2/9', '4/5', '6/5', '9/5'] -> ((((4/5 / 2/9) + 6/5) / 1/9) / 9/5)
[1198243] ['1/9', '2/9', '4/5', '6/7', '7/3'] -> ((6/7 / (2/9 - (1/9 / 4/5))) * 7/3)
[1198260] ['1/9', '2/9', '4/5', '7/2', '7/4'] -> ((7/2 / (2/9 - (1/9 / 4/5))) / 7/4)
[1198263] ['1/9', '2/9', '4/5', '7/2', '7/8'] -> ((7/2 / ((2/9 / 4/5) - 1/9)) / 7/8)
[1198266] ['1/9', '2/9', '4/5', '7/2', '8/5'] -> (8/5 / ((1/9 * 2/9) * (7/2 - 4/5)))
[1198267] ['1/9', '2/9', '4/5', '7/2', '8/7'] -> ((7/2 / ((2/9 / 4/5) - 1/9)) * 8/7)
[1198270] ['1/9', '2/9', '4/5', '7/2', '9/4'] -> ((7/2 / (2/9 - (1/9 * 4/5))) - 9/4)
[1198277] ['1/9', '2/9', '4/5', '7/3', '7/6'] -> ((7/3 / (2/9 - (1/9 / 4/5))) / 7/6)
[1198281] ['1/9', '2/9', '4/5', '7/3', '8/5'] -> (8/5 / ((4/5 / (1/9 + 2/9)) - 7/3))
[1198285] ['1/9', '2/9', '4/5', '7/3', '9/4'] -> (((7/3 / (2/9 - 1/9)) / 4/5) - 9/4)
[1198292] ['1/9', '2/9', '4/5', '7/4', '7/8'] -> ((7/4 / (2/9 - (1/9 / 4/5))) / 7/8)
[1198295] ['1/9', '2/9', '4/5', '7/4', '8/5'] -> (8/5 / (2/9 - ((1/9 * 4/5) * 7/4)))
[1198298] ['1/9', '2/9', '4/5', '7/4', '9/2'] -> (9/2 / ((7/4 / 4/5) - (2/9 / 1/9)))
[1198299] ['1/9', '2/9', '4/5', '7/4', '9/4'] -> ((7/4 / ((2/9 * 4/5) - 1/9)) - 9/4)
[1198300] ['1/9', '2/9', '4/5', '7/4', '9/5'] -> (9/5 / (((1/9 * 7/4) / 2/9) - 4/5))
[1198305] ['1/9', '2/9', '4/5', '7/5', '7/8'] -> ((7/5 / ((2/9 * 4/5) - 1/9)) / 7/8)
[1198307] ['1/9', '2/9', '4/5', '7/5', '8/3'] -> (((7/5 / 1/9) - (4/5 / 2/9)) * 8/3)
[1198309] ['1/9', '2/9', '4/5', '7/5', '8/7'] -> ((7/5 / ((2/9 * 4/5) - 1/9)) * 8/7)
[1198330] ['1/9', '2/9', '4/5', '7/8', '8/3'] -> (((2/9 / (7/8 - 4/5)) / 1/9) - 8/3)
[1198331] ['1/9', '2/9', '4/5', '7/8', '8/5'] -> (8/5 / (4/5 * ((2/9 * 7/8) - 1/9)))
[1198353] ['1/9', '2/9', '4/5', '8/3', '9/2'] -> (((2/9 / 1/9) + (8/3 / 4/5)) * 9/2)
[1198358] ['1/9', '2/9', '4/5', '8/5', '8/5'] -> (8/5 / ((2/9 * (8/5 - 4/5)) - 1/9))
[1198361] ['1/9', '2/9', '4/5', '8/5', '9/2'] -> ((8/5 / (4/5 - (1/9 / 2/9))) * 9/2)
[1198374] ['1/9', '2/9', '4/5', '8/9', '9/2'] -> ((8/9 / ((2/9 / 4/5) - 1/9)) * 9/2)
[1198375] ['1/9', '2/9', '4/5', '8/9', '9/4'] -> ((8/9 / (2/9 - (1/9 / 4/5))) * 9/4)
[1198380] ['1/9', '2/9', '4/5', '9/2', '9/4'] -> ((9/2 / (2/9 - (1/9 / 4/5))) / 9/4)
[1198383] ['1/9', '2/9', '4/5', '9/2', '9/8'] -> ((9/2 / ((2/9 / 4/5) - 1/9)) / 9/8)
[1198387] ['1/9', '2/9', '4/5', '9/4', '9/8'] -> ((9/4 / (2/9 - (1/9 / 4/5))) / 9/8)
[1198390] ['1/9', '2/9', '4/5', '9/5', '9/8'] -> ((9/5 / ((2/9 * 4/5) - 1/9)) / 9/8)
[1198400] ['1/9', '2/9', '4/7', '4/7', '5/7'] -> ((4/7 + 4/7) / ((2/9 * 5/7) - 1/9))
[1198405] ['1/9', '2/9', '4/7', '4/7', '7/2'] -> ((4/7 + 4/7) / (1/9 - (2/9 / 7/2)))
[1198408] ['1/9', '2/9', '4/7', '4/7', '7/5'] -> ((4/7 + 4/7) / ((2/9 / 7/5) - 1/9))
[1198414] ['1/9', '2/9', '4/7', '4/7', '8/7'] -> ((4/7 + 8/7) / (4/7 - (1/9 / 2/9)))
[1198440] ['1/9', '2/9', '4/7', '4/9', '8/7'] -> ((((4/7 / 1/9) + 4/9) / 2/9) - 8/7)
[1198448] ['1/9', '2/9', '4/7', '5/2', '5/3'] -> (5/3 / ((2/9 - (1/9 / 4/7)) * 5/2))
[1198457] ['1/9', '2/9', '4/7', '5/2', '7/3'] -> ((4/7 / ((1/9 * 5/2) - 2/9)) * 7/3)
[1198465] ['1/9', '2/9', '4/7', '5/2', '8/7'] -> (8/7 / ((1/9 * 2/9) * (5/2 - 4/7)))
[1198489] ['1/9', '2/9', '4/7', '5/3', '8/7'] -> (8/7 / ((4/7 / (1/9 + 2/9)) - 5/3))
[1198492] ['1/9', '2/9', '4/7', '5/3', '9/4'] -> (((5/3 / (2/9 - 1/9)) / 4/7) - 9/4)
[1198497] ['1/9', '2/9', '4/7', '5/4', '5/6'] -> (5/6 / ((2/9 - (1/9 / 4/7)) * 5/4))
[1198503] ['1/9', '2/9', '4/7', '5/4', '7/2'] -> (7/2 / ((2/9 - (1/9 * 5/4)) / 4/7))
[1198511] ['1/9', '2/9', '4/7', '5/4', '8/5'] -> (8/5 / (2/9 - ((1/9 / 4/7) / 5/4)))
[1198514] ['1/9', '2/9', '4/7', '5/4', '9/2'] -> (9/2 / ((5/4 / 4/7) - (2/9 / 1/9)))
[1198517] ['1/9', '2/9', '4/7', '5/4', '9/7'] -> (9/7 / (((1/9 * 5/4) / 2/9) - 4/7))
[1198522] ['1/9', '2/9', '4/7', '5/6', '5/9'] -> (5/9 / ((2/9 - (1/9 / 4/7)) * 5/6))
[1198544] ['1/9', '2/9', '4/7', '5/7', '6/5'] -> (6/5 / (((1/9 / 4/7) / 5/7) - 2/9))
[1198545] ['1/9', '2/9', '4/7', '5/7', '6/7'] -> (6/7 / ((1/9 / 4/7) - (2/9 * 5/7)))
[1198554] ['1/9', '2/9', '4/7', '5/7', '8/5'] -> (8/5 / (((2/9 * 4/7) / 5/7) - 1/9))
[1198565] ['1/9', '2/9', '4/7', '5/8', '6/7'] -> ((4/7 / ((2/9 * 5/8) - 1/9)) / 6/7)
[1198570] ['1/9', '2/9', '4/7', '5/8', '7/6'] -> ((4/7 / ((2/9 * 5/8) - 1/9)) * 7/6)
[1198583] ['1/9', '2/9', '4/7', '5/9', '6/5'] -> ((5/9 / (2/9 - (1/9 / 4/7))) * 6/5)
[1198586] ['1/9', '2/9', '4/7', '5/9', '7/3'] -> ((4/7 / (5/9 - (1/9 / 2/9))) * 7/3)
[1198590] ['1/9', '2/9', '4/7', '5/9', '7/8'] -> (((1/9 + 2/9) / (4/7 - 5/9)) / 7/8)
[1198616] ['1/9', '2/9', '4/7', '6/5', '9/5'] -> ((6/5 / (2/9 - (1/9 / 4/7))) / 9/5)
[1198620] ['1/9', '2/9', '4/7', '6/7', '7/2'] -> (((4/7 + (2/9 * 6/7)) / 1/9) * 7/2)
[1198627] ['1/9', '2/9', '4/7', '6/7', '8/3'] -> (((4/7 / 1/9) + (6/7 / 2/9)) * 8/3)
[1198631] ['1/9', '2/9', '4/7', '6/7', '9/2'] -> (((4/7 / 1/9) + (2/9 * 6/7)) * 9/2)
[1198637] ['1/9', '2/9', '4/7', '7/2', '7/3'] -> (7/3 / ((2/9 - (1/9 / 4/7)) * 7/2))
[1198640] ['1/9', '2/9', '4/7', '7/2', '7/6'] -> (((7/2 - (2/9 / 4/7)) / 1/9) / 7/6)
[1198643] ['1/9', '2/9', '4/7', '7/2', '8/3'] -> ((((2/9 / 1/9) + 4/7) * 7/2) * 8/3)
[1198661] ['1/9', '2/9', '4/7', '7/3', '8/9'] -> (8/9 / (((2/9 * 4/7) - 1/9) * 7/3))
[1198686] ['1/9', '2/9', '4/7', '7/5', '8/5'] -> (8/5 / (((2/9 * 4/7) * 7/5) - 1/9))
[1198687] ['1/9', '2/9', '4/7', '7/5', '8/7'] -> (8/7 / ((2/9 * 4/7) - (1/9 / 7/5)))
[1198696] ['1/9', '2/9', '4/7', '7/6', '7/9'] -> (7/9 / ((2/9 - (1/9 / 4/7)) * 7/6))
[1198701] ['1/9', '2/9', '4/7', '7/6', '9/2'] -> (((4/7 / 1/9) + (2/9 / 7/6)) * 9/2)
[1198705] ['1/9', '2/9', '4/7', '7/6', '9/8'] -> ((((4/7 * 7/6) / 1/9) / 2/9) / 9/8)
[1198710] ['1/9', '2/9', '4/7', '7/8', '8/7'] -> (8/7 / (4/7 * ((2/9 * 7/8) - 1/9)))
[1198718] ['1/9', '2/9', '4/7', '7/9', '8/3'] -> (8/3 / (((4/7 * 7/9) - 1/9) - 2/9))
[1198720] ['1/9', '2/9', '4/7', '7/9', '8/7'] -> (8/7 / (1/9 * ((2/9 + 7/9) - 4/7)))
[1198731] ['1/9', '2/9', '4/7', '8/3', '9/2'] -> ((8/3 / (1/9 + (2/9 / 4/7))) * 9/2)
[1198744] ['1/9', '2/9', '4/7', '8/7', '8/7'] -> (8/7 / (4/7 * ((2/9 / 8/7) - 1/9)))
[1198755] ['1/9', '2/9', '4/7', '8/9', '9/7'] -> ((((8/9 / 2/9) - 4/7) / 1/9) / 9/7)
[1198773] ['1/9', '2/9', '4/9', '4/9', '5/2'] -> (((2/9 + 4/9) / 4/9) + (5/2 / 1/9))
[1198774] ['1/9', '2/9', '4/9', '4/9', '5/3'] -> ((4/9 + 4/9) / (2/9 - (1/9 * 5/3)))
[1198776] ['1/9', '2/9', '4/9', '4/9', '5/6'] -> ((((4/9 / 1/9) + 4/9) / 2/9) / 5/6)
[1198779] ['1/9', '2/9', '4/9', '4/9', '5/9'] -> (((4/9 + 4/9) / 1/9) / (5/9 - 2/9))
[1198780] ['1/9', '2/9', '4/9', '4/9', '6/5'] -> ((((4/9 / 1/9) + 4/9) / 2/9) * 6/5)
[1198798] ['1/9', '2/9', '4/9', '5/2', '5/2'] -> (((4/9 + 5/2) / (2/9 - 1/9)) - 5/2)
[1198799] ['1/9', '2/9', '4/9', '5/2', '5/3'] -> (5/3 / (((1/9 / 4/9) - 2/9) * 5/2))
[1198803] ['1/9', '2/9', '4/9', '5/2', '5/8'] -> ((((2/9 + 4/9) * 5/2) / 1/9) / 5/8)
[1198805] ['1/9', '2/9', '4/9', '5/2', '6/5'] -> ((4/9 / (1/9 - (2/9 / 5/2))) * 6/5)
[1198818] ['1/9', '2/9', '4/9', '5/2', '9/2'] -> ((((2/9 + 4/9) + 5/2) / 1/9) - 9/2)
[1198822] ['1/9', '2/9', '4/9', '5/2', '9/8'] -> ((((2/9 / 4/9) + 5/2) / 1/9) / 9/8)
[1198825] ['1/9', '2/9', '4/9', '5/3', '5/6'] -> ((4/9 / ((2/9 / 5/3) - 1/9)) / 5/6)
[1198827] ['1/9', '2/9', '4/9', '5/3', '5/8'] -> ((5/3 / ((4/9 - 1/9) - 2/9)) / 5/8)
[1198829] ['1/9', '2/9', '4/9', '5/3', '6/5'] -> ((4/9 / ((2/9 / 5/3) - 1/9)) * 6/5)
[1198836] ['1/9', '2/9', '4/9', '5/3', '7/8'] -> ((((2/9 + 4/9) + 5/3) / 1/9) / 7/8)
[1198840] ['1/9', '2/9', '4/9', '5/3', '8/7'] -> ((((2/9 + 4/9) + 5/3) / 1/9) * 8/7)
[1198842] ['1/9', '2/9', '4/9', '5/3', '9/2'] -> ((((2/9 / 4/9) + 5/3) / 1/9) + 9/2)
[1198848] ['1/9', '2/9', '4/9', '5/4', '5/6'] -> (5/6 / (((1/9 / 4/9) - 2/9) * 5/4))
[1198862] ['1/9', '2/9', '4/9', '5/4', '8/5'] -> (8/5 / (((4/9 - 2/9) / 5/4) - 1/9))
[1198865] ['1/9', '2/9', '4/9', '5/4', '9/2'] -> ((4/9 / (2/9 - (1/9 * 5/4))) * 9/2)
[1198873] ['1/9', '2/9', '4/9', '5/6', '5/9'] -> (5/9 / (((1/9 / 4/9) - 2/9) * 5/6))
[1198888] ['1/9', '2/9', '4/9', '5/6', '9/4'] -> ((((4/9 / 1/9) + 5/6) / 2/9) + 9/4)
[1198896] ['1/9', '2/9', '4/9', '5/7', '6/7'] -> (6/7 / (((1/9 + 2/9) / 4/9) - 5/7))
[1198905] ['1/9', '2/9', '4/9', '5/7', '8/5'] -> (8/5 / ((4/9 - (1/9 / 5/7)) - 2/9))
[1198915] ['1/9', '2/9', '4/9', '5/8', '6/5'] -> ((((4/9 / 1/9) / 2/9) / 5/8) / 6/5)
[1198927] ['1/9', '2/9', '4/9', '5/8', '8/9'] -> (8/9 / (2/9 * ((4/9 * 5/8) - 1/9)))
[1198964] ['1/9', '2/9', '4/9', '6/5', '8/9'] -> (8/9 / (((4/9 / 6/5) - 1/9) - 2/9))
[1198965] ['1/9', '2/9', '4/9', '6/5', '9/2'] -> (((2/9 + (4/9 / 6/5)) / 1/9) * 9/2)
[1198972] ['1/9', '2/9', '4/9', '6/7', '7/3'] -> ((((4/9 / 2/9) - 6/7) / 1/9) * 7/3)
[1198973] ['1/9', '2/9', '4/9', '6/7', '7/4'] -> ((((2/9 + 4/9) + 6/7) / 1/9) * 7/4)
[1198976] ['1/9', '2/9', '4/9', '6/7', '7/8'] -> ((((4/9 / 1/9) / 2/9) / 6/7) / 7/8)
[1198977] ['1/9', '2/9', '4/9', '6/7', '7/9'] -> ((6/7 / ((1/9 / 4/9) - 2/9)) * 7/9)
[1198985] ['1/9', '2/9', '4/9', '6/7', '9/7'] -> ((6/7 / ((1/9 / 4/9) - 2/9)) / 9/7)
[1198988] ['1/9', '2/9', '4/9', '7/2', '7/3'] -> (7/3 / (((1/9 / 4/9) - 2/9) * 7/2))
[1198992] ['1/9', '2/9', '4/9', '7/2', '7/8'] -> ((((2/9 + 4/9) * 7/2) / 1/9) / 7/8)
[1199002] ['1/9', '2/9', '4/9', '7/2', '9/8'] -> (((7/2 - (2/9 / 4/9)) / 1/9) / 9/8)
[1199006] ['1/9', '2/9', '4/9', '7/3', '7/6'] -> ((4/9 / (1/9 - (2/9 / 7/3))) / 7/6)
[1199007] ['1/9', '2/9', '4/9', '7/3', '7/8'] -> ((7/3 / ((4/9 - 1/9) - 2/9)) / 7/8)
[1199008] ['1/9', '2/9', '4/9', '7/3', '7/9'] -> ((((4/9 + 7/3) / 1/9) - 2/9) - 7/9)
[1199010] ['1/9', '2/9', '4/9', '7/3', '8/5'] -> ((((7/3 - 2/9) - 4/9) / 1/9) * 8/5)
[1199011] ['1/9', '2/9', '4/9', '7/3', '8/7'] -> ((7/3 / ((4/9 - 1/9) - 2/9)) * 8/7)
[1199017] ['1/9', '2/9', '4/9', '7/3', '9/8'] -> ((((2/9 + 4/9) + 7/3) / 1/9) / 9/8)
[1199028] ['1/9', '2/9', '4/9', '7/4', '9/4'] -> ((((2/9 + 4/9) + 7/4) / 1/9) + 9/4)
[1199038] ['1/9', '2/9', '4/9', '7/5', '8/7'] -> (8/7 / (((4/9 - 2/9) / 7/5) - 1/9))
[1199047] ['1/9', '2/9', '4/9', '7/6', '7/9'] -> (7/9 / (((1/9 / 4/9) - 2/9) * 7/6))
[1199049] ['1/9', '2/9', '4/9', '7/6', '8/5'] -> ((((2/9 / 4/9) + 7/6) / 1/9) * 8/5)
[1199062] ['1/9', '2/9', '4/9', '7/8', '8/9'] -> (8/9 / (4/9 * ((2/9 * 7/8) - 1/9)))
[1199063] ['1/9', '2/9', '4/9', '7/8', '9/2'] -> ((4/9 / ((2/9 * 7/8) - 1/9)) * 9/2)
[1199071] ['1/9', '2/9', '4/9', '7/9', '8/7'] -> (8/7 / ((4/9 - (2/9 / 7/9)) - 1/9))
[1199089] ['1/9', '2/9', '4/9', '8/5', '8/9'] -> (8/9 / (2/9 * ((4/9 / 8/5) - 1/9)))
[1199095] ['1/9', '2/9', '4/9', '8/7', '8/7'] -> (((2/9 + (8/7 / 4/9)) / 1/9) - 8/7)
[1199096] ['1/9', '2/9', '4/9', '8/7', '8/9'] -> (8/9 / (4/9 * ((2/9 / 8/7) - 1/9)))
[1199097] ['1/9', '2/9', '4/9', '8/7', '9/2'] -> ((4/9 / ((2/9 / 8/7) - 1/9)) * 9/2)
[1199103] ['1/9', '2/9', '4/9', '8/9', '9/2'] -> ((((2/9 + 4/9) * 8/9) / 1/9) * 9/2)
[1199104] ['1/9', '2/9', '4/9', '8/9', '9/4'] -> ((((4/9 + 8/9) / 1/9) / 2/9) / 9/4)
[1199112] ['1/9', '2/9', '4/9', '9/2', '9/8'] -> ((((2/9 + 4/9) * 9/2) / 1/9) / 9/8)
[1199113] ['1/9', '2/9', '4/9', '9/4', '9/4'] -> ((((2/9 + 4/9) + 9/4) / 1/9) - 9/4)
[1199117] ['1/9', '2/9', '4/9', '9/5', '9/5'] -> ((((2/9 + 4/9) + 9/5) / 1/9) + 9/5)
[1199125] ['1/9', '2/9', '5/2', '5/2', '5/4'] -> (((2/9 + 5/2) / 1/9) - (5/4 / 5/2))
[1199126] ['1/9', '2/9', '5/2', '5/2', '5/6'] -> (((5/2 / (2/9 - 1/9)) - 5/2) / 5/6)
[1199128] ['1/9', '2/9', '5/2', '5/2', '5/8'] -> (((5/2 + 5/2) / (1/9 + 2/9)) / 5/8)
[1199130] ['1/9', '2/9', '5/2', '5/2', '6/5'] -> (((5/2 / (2/9 - 1/9)) - 5/2) * 6/5)
[1199132] ['1/9', '2/9', '5/2', '5/2', '7/2'] -> ((((2/9 * 5/2) + 5/2) / 1/9) - 7/2)
[1199134] ['1/9', '2/9', '5/2', '5/2', '7/4'] -> ((5/2 * 5/2) + ((2/9 + 7/4) / 1/9))
[1199138] ['1/9', '2/9', '5/2', '5/2', '7/9'] -> ((((5/2 / 1/9) + 5/2) - 2/9) - 7/9)
[1199147] ['1/9', '2/9', '5/2', '5/2', '9/8'] -> ((((2/9 + 5/2) / 1/9) + 5/2) / 9/8)
[1199152] ['1/9', '2/9', '5/2', '5/3', '5/8'] -> (((5/2 / 1/9) - (5/3 / 2/9)) / 5/8)
[1199160] ['1/9', '2/9', '5/2', '5/3', '7/6'] -> ((((2/9 + 5/2) / 1/9) - 5/3) + 7/6)
[1199164] ['1/9', '2/9', '5/2', '5/3', '8/5'] -> (((5/2 / 1/9) - (5/3 / 2/9)) * 8/5)
[1199167] ['1/9', '2/9', '5/2', '5/3', '9/2'] -> ((5/2 + ((2/9 + 5/3) / 1/9)) + 9/2)
[1199168] ['1/9', '2/9', '5/2', '5/3', '9/4'] -> (((5/2 / 2/9) + (5/3 / 1/9)) - 9/4)
[1199171] ['1/9', '2/9', '5/2', '5/3', '9/8'] -> ((((5/3 / 1/9) / 2/9) / 5/2) / 9/8)
[1199172] ['1/9', '2/9', '5/2', '5/4', '5/4'] -> ((5/2 / (2/9 - (1/9 * 5/4))) / 5/4)
[1199175] ['1/9', '2/9', '5/2', '5/4', '5/8'] -> ((5/2 / ((2/9 * 5/4) - 1/9)) / 5/8)
[1199181] ['1/9', '2/9', '5/2', '5/4', '7/4'] -> ((((2/9 + 5/2) / 1/9) + 5/4) - 7/4)
