[13] ['1/2', '1/2', '1/2', '1/2', '3/2'] -> 3/2 / (((1/2 * /2) * /2) * /2
[222] ['1/2', '1/2', '1/2', '1/7', '1/8'] -> (1/2 / 1/8 - 1/2) / 1/7 - 1/2
[224] ['1/2', '1/2', '1/2', '1/7', '2/3'] -> (1/2 + 1/2 / 1/7) / (2/3 - 1/2)
[228] ['1/2', '1/2', '1/2', '1/7', '3/2'] -> (1/2 + 3/2 / 1/2) / 1/7 - 1/2
[239] ['1/2', '1/2', '1/2', '1/7', '5/4'] -> (1/2 + 5/4) / 1/2 / 1/7 - 1/2
[251] ['1/2', '1/2', '1/2', '1/7', '7/8'] -> 7/8 / (1/2 * /2 * /7) - 1/2
[255] ['1/2', '1/2', '1/2', '1/7', '8/7'] -> (1/2 + (1/2 + 8/7) / 1/7) / 1/2
[258] ['1/2', '1/2', '1/2', '1/7', '9/4'] -> (9/4 - 1/2) / 1/2 / 1/7 - 1/2
[273] ['1/2', '1/2', '1/2', '1/8', '4/3'] -> 1/2 / (((1/2 * 4/3) - 1/2) * /8
)[282] ['1/2', '1/2', '1/2', '1/8', '5/8'] -> (1/2 + 5/8 / (1/2 * /2)) / 1/8
[284] ['1/2', '1/2', '1/2', '1/8', '6/5'] -> 1/2 / ((1/2 + 1/8) / 6/5 - 1/2)
[291] ['1/2', '1/2', '1/2', '1/8', '7/8'] -> (7/8 / (1/2 * /2) - 1/2) / 1/8
[293] ['1/2', '1/2', '1/2', '1/8', '8/3'] -> (1/2 + 1/2 / 1/8) * 8/3 / 1/2
[307] ['1/2', '1/2', '1/2', '1/9', '3/2'] -> (1/2 / 1/9 + 3/2) / 1/2 / 1/2
[309] ['1/2', '1/2', '1/2', '1/9', '3/5'] -> (1/2 + 1/2 / 3/5) / 1/2 / 1/9
[318] ['1/2', '1/2', '1/2', '1/9', '5/4'] -> 1/2 + (1/2 + 5/4 / 1/9) / 1/2
[321] ['1/2', '1/2', '1/2', '1/9', '5/8'] -> 1/2 / ((1/2 - (1/2 * 5/8)) * /9
)[331] ['1/2', '1/2', '1/2', '1/9', '7/9'] -> (1/2 + (1/2 + 7/9) / 1/9) / 1/2
[333] ['1/2', '1/2', '1/2', '1/9', '8/5'] -> 1/2 / ((1/2 - (1/2 / 8/5)) * /9
)[335] ['1/2', '1/2', '1/2', '1/9', '8/9'] -> ((1/2 + 8/9) / 1/9 - 1/2) / 1/2
[345] ['1/2', '1/2', '1/2', '2/3', '3/2'] -> (1/2 + 3/2) / (2/3 - 1/2) / 1/2
[364] ['1/2', '1/2', '1/2', '2/3', '7/3'] -> (2/3 + 7/3) / 1/2 / 1/2 / 1/2
[365] ['1/2', '1/2', '1/2', '2/3', '7/4'] -> (1/2 + 7/4 / 1/2) / (2/3 - 1/2)
[368] ['1/2', '1/2', '1/2', '2/3', '7/8'] -> 1/2 / (1/2 * (1/2 + 7/8) - 2/3)
[369] ['1/2', '1/2', '1/2', '2/3', '7/9'] -> 2/3 / (7/9 - 1/2 * 1/2 - 1/2)
[371] ['1/2', '1/2', '1/2', '2/3', '8/5'] -> 1/2 / (1/2 * 2/3 - 1/2 / 8/5)
[373] ['1/2', '1/2', '1/2', '2/3', '8/9'] -> 2/3 / ((1/2 - (1/2 * 8/9)) * /2
)[376] ['1/2', '1/2', '1/2', '2/3', '9/5'] -> 2/3 / (1/2 / 9/5 - 1/2 * 1/2)
[384] ['1/2', '1/2', '1/2', '2/5', '3/5'] -> 3/5 / (((1/2 - 2/5) * /2) * /2
)[387] ['1/2', '1/2', '1/2', '2/5', '4/3'] -> 4/3 / (1/2 / (1/2 + 2/5) - 1/2)
[393] ['1/2', '1/2', '1/2', '2/5', '5/4'] -> (5/4 / (1/2 - 2/5) - 1/2) / 1/2
[413] ['1/2', '1/2', '1/2', '2/5', '9/5'] -> 9/5 / ((2/5 - (1/2 * 1/2)) * /2
)[425] ['1/2', '1/2', '1/2', '2/7', '4/7'] -> 1/2 / ((4/7 - 1/2) * /7) - 1/2
[441] ['1/2', '1/2', '1/2', '2/7', '7/8'] -> 7/8 / (2/7 - 1/2 * 1/2) - 1/2
[450] ['1/2', '1/2', '1/2', '2/7', '9/7'] -> 9/7 / (((1/2 - 2/7) * /2) * /2
)[454] ['1/2', '1/2', '1/2', '2/9', '3/4'] -> 1/2 / (((1/2 * 1/2) - 2/9) * /4
)[462] ['1/2', '1/2', '1/2', '2/9', '5/2'] -> 1/2 + (1/2 + 5/2 / 2/9) / 1/2
[472] ['1/2', '1/2', '1/2', '2/9', '7/3'] -> 7/3 / (2/9 - 1/2 * 1/2 * 1/2)
[487] ['1/2', '1/2', '1/2', '3/2', '3/2'] -> (3/2 + 3/2) / 1/2 / 1/2 / 1/2
[492] ['1/2', '1/2', '1/2', '3/2', '4/3'] -> 3/2 / ((1/2 - (1/2 / 4/3)) * /2
)[493] ['1/2', '1/2', '1/2', '3/2', '4/5'] -> 3/2 / (((1/2 / 4/5) - 1/2) * /2
)[494] ['1/2', '1/2', '1/2', '3/2', '4/7'] -> 3/2 / (1/2 - 1/2 * 1/2 / 4/7)
[495] ['1/2', '1/2', '1/2', '3/2', '4/9'] -> 3/2 / (1/2 * 1/2 / 4/9 - 1/2)
[498] ['1/2', '1/2', '1/2', '3/2', '5/4'] -> 3/2 / (((1/2 * 5/4) - 1/2) * /2
)[499] ['1/2', '1/2', '1/2', '3/2', '5/6'] -> (1/2 + 3/2) / (1/2 - 1/2 * 5/6)
[503] ['1/2', '1/2', '1/2', '3/2', '6/5'] -> (1/2 + 3/2) / (1/2 - 1/2 / 6/5)
[504] ['1/2', '1/2', '1/2', '3/2', '6/7'] -> (1/2 + 3/2) / (1/2 / 6/7 - 1/2)
[507] ['1/2', '1/2', '1/2', '3/2', '7/4'] -> 3/2 / (1/2 - 1/2 * 1/2 * 7/4)
[509] ['1/2', '1/2', '1/2', '3/2', '7/6'] -> (1/2 + 3/2) / (1/2 * 7/6 - 1/2)
[512] ['1/2', '1/2', '1/2', '3/2', '8/3'] -> 3/2 / (1/2 * 1/2 - 1/2 / 8/3)
[524] ['1/2', '1/2', '1/2', '3/4', '3/8'] -> 3/4 / (((1/2 - 3/8) * /2) * /2
)[543] ['1/2', '1/2', '1/2', '3/4', '7/8'] -> 3/4 / ((1/2 - (1/2 * 7/8)) * /2
)[547] ['1/2', '1/2', '1/2', '3/4', '8/7'] -> 3/4 / ((1/2 - (1/2 / 8/7)) * /2
)[548] ['1/2', '1/2', '1/2', '3/4', '8/9'] -> 3/4 / (((1/2 / 8/9) - 1/2) * /2
)[553] ['1/2', '1/2', '1/2', '3/4', '9/8'] -> 3/4 / (((1/2 * 9/8) - 1/2) * /2
)[554] ['1/2', '1/2', '1/2', '3/5', '3/5'] -> 3/5 / (((3/5 - 1/2) * /2) * /2
)[560] ['1/2', '1/2', '1/2', '3/5', '4/9'] -> (1/2 + 1/2 / 3/5) / (1/2 - 4/9)
[563] ['1/2', '1/2', '1/2', '3/5', '5/4'] -> (5/4 / (3/5 - 1/2) - 1/2) / 1/2
[566] ['1/2', '1/2', '1/2', '3/5', '5/8'] -> 1/2 / (1/2 * 5/8 / 3/5 - 1/2)
[567] ['1/2', '1/2', '1/2', '3/5', '5/9'] -> (1/2 + 1/2 / 3/5) / (5/9 - 1/2)
[578] ['1/2', '1/2', '1/2', '3/5', '8/5'] -> 1/2 / (1/2 / (3/5 * /5) - 1/2)
[583] ['1/2', '1/2', '1/2', '3/5', '9/5'] -> 9/5 / (((1/2 * /2) * /2) * /5
)[586] ['1/2', '1/2', '1/2', '3/7', '3/7'] -> 3/7 / (((1/2 - 3/7) * /2) * /2
)[590] ['1/2', '1/2', '1/2', '3/7', '4/7'] -> 3/7 / (((4/7 - 1/2) * /2) * /2
)[594] ['1/2', '1/2', '1/2', '3/7', '5/4'] -> (1/2 + 5/4) / (1/2 - 3/7) - 1/2
[601] ['1/2', '1/2', '1/2', '3/7', '7/2'] -> 1/2 * 7/2 / (1/2 - 3/7) - 1/2
[606] ['1/2', '1/2', '1/2', '3/7', '7/8'] -> 7/8 / ((1/2 - 3/7) * /2) - 1/2
[615] ['1/2', '1/2', '1/2', '3/7', '9/7'] -> 9/7 / (((1/2 * /2) * /2) * /7
)[624] ['1/2', '1/2', '1/2', '3/8', '5/4'] -> (1/2 + 5/4 / 1/2) / (1/2 - 3/8)
[637] ['1/2', '1/2', '1/2', '3/8', '7/9'] -> 1/2 / (1/2 - 3/8 * (1/2 + 7/9))
[643] ['1/2', '1/2', '1/2', '3/8', '9/4'] -> 9/4 / ((1/2 - (1/2 * 1/2)) * /8
)[651] ['1/2', '1/2', '1/2', '4/3', '5/2'] -> (1/2 + 5/2) / (1/2 - 1/2 / 4/3)
[652] ['1/2', '1/2', '1/2', '4/3', '5/3'] -> (4/3 + 5/3) / 1/2 / 1/2 / 1/2
[661] ['1/2', '1/2', '1/2', '4/3', '7/3'] -> (4/3 + 7/3 / 1/2) / 1/2 / 1/2
[663] ['1/2', '1/2', '1/2', '4/3', '7/5'] -> 4/3 / (1/2 / (7/5 - 1/2) - 1/2)
[667] ['1/2', '1/2', '1/2', '4/3', '8/3'] -> (4/3 + 8/3 / (1/2 * /2)) / 1/2
[668] ['1/2', '1/2', '1/2', '4/3', '8/5'] -> 1/2 / ((4/3 - 1/2) / 8/5 - 1/2)
[674] ['1/2', '1/2', '1/2', '4/3', '9/7'] -> 4/3 / ((1/2 - (1/2 / 9/7)) * /2
)[677] ['1/2', '1/2', '1/2', '4/5', '4/7'] -> 4/5 / (1/2 - 1/2 / (1/2 + 4/7))
[679] ['1/2', '1/2', '1/2', '4/5', '5/2'] -> (1/2 + 5/2) / (1/2 / 4/5 - 1/2)
[682] ['1/2', '1/2', '1/2', '4/5', '5/6'] -> 1/2 / (1/2 * 5/6 / 4/5 - 1/2)
[699] ['1/2', '1/2', '1/2', '4/5', '9/2'] -> 9/2 / (1/2 - 1/2 * 1/2 / 4/5)
[701] ['1/2', '1/2', '1/2', '4/5', '9/5'] -> 9/5 / (((4/5 - 1/2) * /2) * /2
)[708] ['1/2', '1/2', '1/2', '4/7', '5/4'] -> (1/2 + 5/4) / (4/7 - 1/2) - 1/2
[720] ['1/2', '1/2', '1/2', '4/7', '7/8'] -> 7/8 / ((4/7 - 1/2) * /2) - 1/2
[726] ['1/2', '1/2', '1/2', '4/7', '9/2'] -> 9/2 / (((1/2 / 4/7) - 1/2) * /2
)[733] ['1/2', '1/2', '1/2', '4/9', '5/3'] -> (1/2 + 1/2 * 5/3) / (1/2 - 4/9)
[757] ['1/2', '1/2', '1/2', '5/2', '5/2'] -> (5/2 * 5/2 / 1/2 - 1/2) / 1/2
[759] ['1/2', '1/2', '1/2', '5/2', '5/4'] -> (1/2 + 5/2) / (1/2 * 5/4 - 1/2)
[768] ['1/2', '1/2', '1/2', '5/2', '7/4'] -> (5/2 + 7/4 / 1/2) / 1/2 / 1/2
[773] ['1/2', '1/2', '1/2', '5/2', '8/3'] -> (5/2 / 1/2 - 1/2) * 8/3 / 1/2
[788] ['1/2', '1/2', '1/2', '5/3', '6/5'] -> 6/5 / (1/2 / 5/3 - 1/2 * 1/2)
[796] ['1/2', '1/2', '1/2', '5/3', '7/9'] -> 5/3 / (((7/9 - 1/2) * /2) * /2
)[797] ['1/2', '1/2', '1/2', '5/3', '8/3'] -> (5/3 / 1/2 + 8/3) / 1/2 / 1/2
[798] ['1/2', '1/2', '1/2', '5/3', '8/5'] -> 1/2 / (1/2 * 5/3 / 8/5 - 1/2)
[803] ['1/2', '1/2', '1/2', '5/3', '9/5'] -> 5/3 * 9/5 / 1/2 / 1/2 / 1/2
[807] ['1/2', '1/2', '1/2', '5/4', '5/6'] -> 1/2 / (1/2 * 5/4 * 5/6 - 1/2)
[809] ['1/2', '1/2', '1/2', '5/4', '5/8'] -> (1/2 + 5/4 / 1/2) / (5/8 - 1/2)
[815] ['1/2', '1/2', '1/2', '5/4', '7/4'] -> (5/4 + 7/4) / 1/2 / 1/2 / 1/2
[831] ['1/2', '1/2', '1/2', '5/6', '5/8'] -> 1/2 / (5/6 - 1/2 * 5/8 - 1/2)
[833] ['1/2', '1/2', '1/2', '5/6', '6/5'] -> 6/5 / (((1/2 / 5/6) - 1/2) * /2
)[840] ['1/2', '1/2', '1/2', '5/6', '7/8'] -> 1/2 / (1/2 * 7/8 - 1/2 * 5/6)
[843] ['1/2', '1/2', '1/2', '5/6', '8/5'] -> 1/2 / (5/6 - 1/2 / 8/5 - 1/2)
[844] ['1/2', '1/2', '1/2', '5/6', '8/7'] -> 1/2 / (1/2 / 8/7 - 1/2 * 5/6)
[845] ['1/2', '1/2', '1/2', '5/6', '8/9'] -> (1/2 + 5/6) / (1/2 - 1/2 * 8/9)
[855] ['1/2', '1/2', '1/2', '5/7', '6/7'] -> 6/7 / (1/2 * 1/2 + 1/2 - 5/7)
[856] ['1/2', '1/2', '1/2', '5/7', '7/2'] -> 7/2 / (1/2 - 1/2 * 5/7) - 1/2
[870] ['1/2', '1/2', '1/2', '5/7', '9/7'] -> 9/7 / (((5/7 - 1/2) * /2) * /2
)[876] ['1/2', '1/2', '1/2', '5/8', '7/2'] -> (1/2 + 7/2 / 1/2) / 1/2 / 5/8
[888] ['1/2', '1/2', '1/2', '5/8', '9/4'] -> 9/4 / ((1/2 - (1/2 * 5/8)) * /2
)[893] ['1/2', '1/2', '1/2', '5/9', '6/5'] -> 6/5 / (1/2 - 1/2 * 1/2 / 5/9)
[911] ['1/2', '1/2', '1/2', '6/5', '6/5'] -> 6/5 / (((1/2 * 6/5) - 1/2) * /2
)[918] ['1/2', '1/2', '1/2', '6/5', '7/8'] -> 1/2 / (1/2 * 7/8 - 1/2 / 6/5)
[921] ['1/2', '1/2', '1/2', '6/5', '8/5'] -> 6/5 / (1/2 * (8/5 - 1/2) - 1/2)
[922] ['1/2', '1/2', '1/2', '6/5', '8/7'] -> 1/2 / (1/2 / 8/7 - 1/2 / 6/5)
[924] ['1/2', '1/2', '1/2', '6/5', '9/2'] -> (1/2 + 9/2) * 6/5 / 1/2 / 1/2
[928] ['1/2', '1/2', '1/2', '6/5', '9/8'] -> 1/2 / ((9/8 - 1/2) / 6/5 - 1/2)
[929] ['1/2', '1/2', '1/2', '6/7', '6/7'] -> 6/7 / ((1/2 - (1/2 * 6/7)) * /2
)[931] ['1/2', '1/2', '1/2', '6/7', '7/3'] -> 6/7 / (1/2 * 1/2 - 1/2 / 7/3)
[934] ['1/2', '1/2', '1/2', '6/7', '7/6'] -> 6/7 / ((1/2 - (1/2 / 7/6)) * /2
)[939] ['1/2', '1/2', '1/2', '6/7', '8/7'] -> 6/7 / (((1/2 * 8/7) - 1/2) * /2
)[940] ['1/2', '1/2', '1/2', '6/7', '8/9'] -> 1/2 / (1/2 / 6/7 - 1/2 / 8/9)
[945] ['1/2', '1/2', '1/2', '6/7', '9/8'] -> 1/2 / (1/2 / 6/7 - 1/2 * 9/8)
[948] ['1/2', '1/2', '1/2', '7/2', '7/4'] -> 7/2 * 7/4 / 1/2 / 1/2 - 1/2
[949] ['1/2', '1/2', '1/2', '7/2', '7/5'] -> 7/2 / (1/2 - 1/2 / 7/5) - 1/2
[952] ['1/2', '1/2', '1/2', '7/2', '7/9'] -> 7/2 / (1/2 / 7/9 - 1/2) - 1/2
[954] ['1/2', '1/2', '1/2', '7/2', '8/5'] -> (1/2 + 7/2 / 1/2) * 8/5 / 1/2
[958] ['1/2', '1/2', '1/2', '7/2', '9/4'] -> (1/2 + (7/2 + 9/4) / 1/2) / 1/2
[960] ['1/2', '1/2', '1/2', '7/2', '9/7'] -> 7/2 / (1/2 * 9/7 - 1/2) - 1/2
[967] ['1/2', '1/2', '1/2', '7/3', '7/9'] -> 7/3 / (((1/2 * /2) * /2) * /9
)[968] ['1/2', '1/2', '1/2', '7/3', '8/3'] -> (7/3 / (1/2 * /2) + 8/3) / 1/2
[971] ['1/2', '1/2', '1/2', '7/3', '8/9'] -> 7/3 / (((8/9 - 1/2) * /2) * /2
)[975] ['1/2', '1/2', '1/2', '7/3', '9/7'] -> 7/3 * 9/7 / 1/2 / 1/2 / 1/2
[979] ['1/2', '1/2', '1/2', '7/4', '7/6'] -> 7/4 / (1/2 - 1/2 / 7/6) - 1/2
[980] ['1/2', '1/2', '1/2', '7/4', '7/8'] -> 7/4 / (1/2 / 7/8 - 1/2) - 1/2
[982] ['1/2', '1/2', '1/2', '7/4', '8/3'] -> (1/2 + 7/4) * 8/3 / 1/2 / 1/2
[984] ['1/2', '1/2', '1/2', '7/4', '8/7'] -> 7/4 / (1/2 * 8/7 - 1/2) - 1/2
[996] ['1/2', '1/2', '1/2', '7/5', '8/5'] -> (7/5 + 8/5) / 1/2 / 1/2 / 1/2
[1010] ['1/2', '1/2', '1/2', '7/6', '8/9'] -> 1/2 / (1/2 * 7/6 - 1/2 / 8/9)
[1015] ['1/2', '1/2', '1/2', '7/6', '9/8'] -> 1/2 / (1/2 * 7/6 - 1/2 * 9/8)
[1023] ['1/2', '1/2', '1/2', '7/8', '9/4'] -> 9/4 / (((7/8 - 1/2) * /2) * /2
)[1037] ['1/2', '1/2', '1/2', '8/3', '8/3'] -> 8/3 / (1/2 * /2 * /2) + 8/3
[1042] ['1/2', '1/2', '1/2', '8/3', '9/4'] -> 8/3 * 9/4 / (1/2 - 1/2 * 1/2)
[1043] ['1/2', '1/2', '1/2', '8/3', '9/5'] -> 8/3 / ((1/2 - (1/2 / 9/5)) * /2
)[1050] ['1/2', '1/2', '1/2', '8/5', '9/4'] -> 9/4 / ((1/2 - (1/2 / 8/5)) * /2
)[1056] ['1/2', '1/2', '1/2', '8/7', '9/2'] -> 9/2 / (1/2 / 8/7 - 1/2 * 1/2)
[1084] ['1/2', '1/2', '1/3', '1/3', '1/5'] -> (1/2 + 1/2 / (1/3 * /5)) / 1/3
[1092] ['1/2', '1/2', '1/3', '1/3', '2/9'] -> (1/3 + 1/3) / (1/2 * 1/2 - 2/9)
[1098] ['1/2', '1/2', '1/3', '1/3', '4/3'] -> 4/3 / (((1/3 / 1/2) - 1/2) * /3
)[1101] ['1/2', '1/2', '1/3', '1/3', '4/9'] -> (1/3 + 1/3) / (1/2 - 4/9) / 1/2
[1108] ['1/2', '1/2', '1/3', '1/3', '5/9'] -> (1/3 + 1/3) / (5/9 - 1/2) / 1/2
[1134] ['1/2', '1/2', '1/3', '1/4', '2/5'] -> 1/2 / (1/3 - 1/2 * 1/4 / 2/5)
[1153] ['1/2', '1/2', '1/3', '1/4', '6/5'] -> 1/2 / (((1/2 / 6/5) - 1/3) * /4
)[1168] ['1/2', '1/2', '1/3', '1/4', '9/5'] -> 1/3 / (((1/2 / 9/5) - 1/4) * /2
)[1172] ['1/2', '1/2', '1/3', '1/5', '1/6'] -> (1/2 / 1/3 + 1/2 / 1/5) / 1/6
[1181] ['1/2', '1/2', '1/3', '1/5', '3/4'] -> (1/2 + 3/4 / (1/2 * /5)) / 1/3
[1184] ['1/2', '1/2', '1/3', '1/5', '3/8'] -> (1/2 + 1/2 / 1/5) / 1/3 / 3/8
[1187] ['1/2', '1/2', '1/3', '1/5', '4/7'] -> 4/7 / (1/2 - 1/3 / (1/2 + 1/5))
[1192] ['1/2', '1/2', '1/3', '1/5', '5/6'] -> (5/6 / (1/3 * /5) - 1/2) / 1/2
[1198] ['1/2', '1/2', '1/3', '1/5', '7/2'] -> (1/2 + 7/2) / (1/2 + 1/3) / 1/5
[1202] ['1/2', '1/2', '1/3', '1/5', '7/6'] -> (1/3 + 7/6 / (1/2 * /5)) / 1/2
[1203] ['1/2', '1/2', '1/3', '1/5', '7/8'] -> 1/2 / (((1/2 * 7/8) - 1/3) * /5
)[1205] ['1/2', '1/2', '1/3', '1/5', '8/3'] -> (1/2 + 1/2 / 1/5) * 8/3 / 1/3
[1207] ['1/2', '1/2', '1/3', '1/5', '8/7'] -> 1/2 / (((1/2 / 8/7) - 1/3) * /5
)[1215] ['1/2', '1/2', '1/3', '1/6', '1/7'] -> (1/2 + 1/2 / 1/7) / (1/3 - 1/6)
[1219] ['1/2', '1/2', '1/3', '1/6', '2/5'] -> (1/2 + 1/2 / (1/6 * /5)) / 1/3
[1224] ['1/2', '1/2', '1/3', '1/6', '3/5'] -> (1/2 + 1/2 / 3/5) / 1/3 / 1/6
[1225] ['1/2', '1/2', '1/3', '1/6', '3/7'] -> (1/2 + 1/2 / (1/3 * /7)) / 1/6
[1238] ['1/2', '1/2', '1/3', '1/6', '6/5'] -> 1/3 / ((1/2 - (1/2 / 6/5)) * /6
)[1239] ['1/2', '1/2', '1/3', '1/6', '6/7'] -> 1/3 / (((1/2 / 6/7) - 1/2) * /6
)[1259] ['1/2', '1/2', '1/3', '1/7', '2/3'] -> (1/2 + 2/3) / 1/3 / 1/7 - 1/2
[1262] ['1/2', '1/2', '1/3', '1/7', '2/9'] -> ((1/2 + 1/3) / 1/7 - 1/2) / 2/9
[1271] ['1/2', '1/2', '1/3', '1/7', '4/9'] -> 4/9 / (1/3 / (1/2 + 1/7) - 1/2)
[1275] ['1/2', '1/2', '1/3', '1/7', '5/6'] -> (1/3 + 5/6 / (1/2 * /7)) / 1/2
[1276] ['1/2', '1/2', '1/3', '1/7', '5/7'] -> ((1/2 + 5/7) / 1/7 - 1/2) / 1/3
[1287] ['1/2', '1/2', '1/3', '1/7', '7/9'] -> (1/2 + 1/2 / 7/9) / 1/3 / 1/7
[1292] ['1/2', '1/2', '1/3', '1/7', '9/2'] -> ((1/2 + 1/3) / 1/7 - 1/2) * 9/2
[1301] ['1/2', '1/2', '1/3', '1/8', '2/7'] -> 1/2 / ((1/2 - (1/8 / 2/7)) * /3
)[1323] ['1/2', '1/2', '1/3', '1/8', '7/4'] -> 7/4 / (((1/2 * 1/2) + 1/3) * /8
)[1334] ['1/2', '1/2', '1/3', '1/8', '9/5'] -> (1/2 + 1/3) * 9/5 / 1/2 / 1/8
[1335] ['1/2', '1/2', '1/3', '1/8', '9/7'] -> 1/3 / ((1/2 - (1/2 / 9/7)) * /8
)[1339] ['1/2', '1/2', '1/3', '1/9', '2/5'] -> (1/2 + 1/3 / 2/5) / 1/2 / 1/9
[1344] ['1/2', '1/2', '1/3', '1/9', '3/5'] -> (1/2 + 1/2 / (1/9 * /5)) / 1/3
[1372] ['1/2', '1/2', '1/3', '1/9', '9/4'] -> (1/2 * (1/2 + 1/3) + 9/4) / 1/9
[1374] ['1/2', '1/2', '1/3', '1/9', '9/7'] -> (1/2 + 1/2 / 9/7) / 1/3 / 1/9
[1378] ['1/2', '1/2', '1/3', '2/3', '2/7'] -> (1/2 + 2/3) / (1/3 - 2/7) - 1/2
[1397] ['1/2', '1/2', '1/3', '2/3', '6/7'] -> 2/3 / (((1/2 / 6/7) - 1/2) * /3
)[1408] ['1/2', '1/2', '1/3', '2/3', '8/9'] -> 2/3 / (((8/9 - 1/2) - 1/3) * /2
)[1411] ['1/2', '1/2', '1/3', '2/3', '9/5'] -> 2/3 / ((1/3 - (1/2 / 9/5)) * /2
)[1412] ['1/2', '1/2', '1/3', '2/3', '9/7'] -> 2/3 / (((1/2 / 9/7) - 1/3) * /2
)[1417] ['1/2', '1/2', '1/3', '2/5', '3/2'] -> (1/2 + 3/2 / (1/2 * /5)) / 1/3
[1425] ['1/2', '1/2', '1/3', '2/5', '4/9'] -> (1/2 + 1/3 / 2/5) / (1/2 - 4/9)
[1426] ['1/2', '1/2', '1/3', '2/5', '5/2'] -> (1/2 + (1/2 + 5/2) / 2/5) / 1/3
[1428] ['1/2', '1/2', '1/3', '2/5', '5/4'] -> 2/5 / (1/3 / 5/4 - 1/2 * 1/2)
[1429] ['1/2', '1/2', '1/3', '2/5', '5/6'] -> (5/6 / (2/5 - 1/3) - 1/2) / 1/2
[1432] ['1/2', '1/2', '1/3', '2/5', '5/9'] -> (1/2 + 1/3 / 2/5) / (5/9 - 1/2)
